date,close
2015-10-23,27.42
2015-10-23,27.42
2015-10-26,27.55
2015-10-26,27.55
2015-10-27,27.62
2015-10-27,27.62
2015-10-28,26.87
2015-10-28,26.87
2015-10-29,26.57
2015-10-29,26.57
2015-10-30,26.38
2015-10-30,26.38
2015-11-02,25.6
2015-11-02,25.6
2015-11-03,25.74
2015-11-03,25.74
2015-11-04,28.3
2015-11-04,28.3
2015-11-05,28.85
2015-11-05,28.85
2015-11-06,29.94
2015-11-06,29.94
2015-11-09,29.91
2015-11-09,29.91
2015-11-10,29.34
2015-11-10,29.34
2015-11-11,28.99
2015-11-11,28.99
2015-11-12,28.61
2015-11-12,28.61
2015-11-13,28.28
2015-11-13,28.28
2015-11-16,28.19
2015-11-16,28.19
2015-11-17,28.45
2015-11-17,28.45
2015-11-18,27.95
2015-11-18,27.95
2015-11-19,28.27
2015-11-19,28.27
2015-11-20,28.21
2015-11-20,28.21
2015-11-23,28.12
2015-11-23,28.12
2015-11-24,28.15
2015-11-24,28.15
2015-11-25,28.18
2015-11-25,28.18
2015-11-26,28.09
2015-11-26,28.09
2015-11-27,26.59
2015-11-27,26.59
2015-11-30,26.31
2015-11-30,26.31
2015-12-01,26.74
2015-12-01,26.74
2015-12-02,29.39
2015-12-02,29.39
2015-12-03,29.6
2015-12-03,29.6
2015-12-04,28.45
2015-12-04,28.45
2015-12-07,28.07
2015-12-07,28.07
2015-12-08,27.84
2015-12-08,27.84
2015-12-09,28.15
2015-12-09,28.15
2015-12-10,27.96
2015-12-10,27.96
2015-12-11,27.55
2015-12-11,27.55
2015-12-14,29.55
2015-12-14,29.55
2015-12-15,28.66
2015-12-15,28.66
2015-12-16,28.52
2015-12-16,28.52
2015-12-17,28.85
2015-12-17,28.85
2015-12-18,28.81
2015-12-18,28.81
2015-12-21,29.66
2015-12-21,29.66
2015-12-22,29.68
2015-12-22,29.68
2015-12-23,29.8
2015-12-23,29.8
2015-12-24,30.41
2015-12-24,30.41
2015-12-25,30.05
2015-12-25,30.05
2015-12-28,28.96
2015-12-28,28.96
2015-12-29,28.98
2015-12-29,28.98
2015-12-30,28.6
2015-12-30,28.6
2015-12-31,28.32
2015-12-31,28.32
2016-01-04,26.3
2016-01-04,26.3
2016-01-05,26.86
2016-01-05,26.86
2016-01-06,26.94
2016-01-06,26.94
2016-01-07,24.94
2016-01-07,24.94
2016-01-08,25.49
2016-01-08,25.49
2016-01-11,23.64
2016-01-11,23.64
2016-01-12,23.8
2016-01-12,23.8
2016-01-13,23.37
2016-01-13,23.37
2016-01-14,23.71
2016-01-14,23.71
2016-01-15,23.21
2016-01-15,23.21
2016-01-18,23.22
2016-01-18,23.22
2016-01-19,23.9
2016-01-19,23.9
2016-01-20,23.04
2016-01-20,23.04
2016-01-21,22.32
2016-01-21,22.32
2016-01-22,22.28
2016-01-22,22.28
2016-01-25,22.24
2016-01-25,22.24
2016-01-26,20.8
2016-01-26,20.8
2016-01-27,20.33
2016-01-27,20.33
2016-01-28,19.87
2016-01-28,19.87
2016-01-29,20.44
2016-01-29,20.44
2016-02-01,19.82
2016-02-01,19.82
2016-02-02,20.11
2016-02-02,20.11
2016-02-03,19.73
2016-02-03,19.73
2016-02-04,20.01
2016-02-04,20.01
2016-02-05,19.89
2016-02-05,19.89
2016-02-15,19.68
2016-02-15,19.68
2016-02-16,20.4
2016-02-16,20.4
2016-02-17,20.56
2016-02-17,20.56
2016-02-18,20.29
2016-02-18,20.29
2016-02-19,20.18
2016-02-19,20.18
2016-02-22,22.2
2016-02-22,22.2
2016-02-23,21.6
2016-02-23,21.6
2016-02-24,22.14
2016-02-24,22.14
2016-02-25,20.29
2016-02-25,20.29
2016-02-26,20.58
2016-02-26,20.58
2016-02-29,19.92
2016-02-29,19.92
2016-03-01,20.66
2016-03-01,20.66
2016-03-02,21.8
2016-03-02,21.8
2016-03-03,22.08
2016-03-03,22.08
2016-03-04,22.74
2016-03-04,22.74
2016-03-07,22.37
2016-03-07,22.37
2016-03-08,22.18
2016-03-08,22.18
2016-03-09,22.0
2016-03-09,22.0
2016-03-10,21.38
2016-03-10,21.38
2016-03-11,21.65
2016-03-11,21.65
2016-03-14,21.93
2016-03-14,21.93
2016-03-15,23.21
2016-03-15,23.21
2016-03-16,23.2
2016-03-16,23.2
2016-03-17,23.15
2016-03-17,23.15
2016-03-18,23.17
2016-03-18,23.17
2016-03-21,23.96
2016-03-21,23.96
2016-03-22,23.39
2016-03-22,23.39
2016-03-23,23.79
2016-03-23,23.79
2016-03-24,23.35
2016-03-24,23.35
2016-03-25,23.83
2016-03-25,23.83
2016-03-28,23.41
2016-03-28,23.41
2016-03-29,23.36
2016-03-29,23.36
2016-03-30,24.08
2016-03-30,24.08
2016-03-31,23.87
2016-03-31,23.87
2016-04-01,23.96
2016-04-01,23.96
2016-04-05,24.05
2016-04-05,24.05
2016-04-06,23.78
2016-04-06,23.78
2016-04-07,23.31
2016-04-07,23.31
2016-04-08,22.95
2016-04-08,22.95
2016-04-11,23.22
2016-04-11,23.22
2016-04-12,23.2
2016-04-12,23.2
2016-04-13,23.47
2016-04-13,23.47
2016-04-14,23.67
2016-04-14,23.67
2016-04-15,23.52
2016-04-15,23.52
2016-04-18,23.19
2016-04-18,23.19
2016-04-19,23.08
2016-04-19,23.08
2016-04-20,23.12
2016-04-20,23.12
2016-04-21,22.43
2016-04-21,22.43
2016-04-22,22.23
2016-04-22,22.23
2016-04-25,21.9
2016-04-25,21.9
2016-04-26,22.01
2016-04-26,22.01
2016-04-27,21.95
2016-04-27,21.95
2016-04-28,21.82
2016-04-28,21.82
2016-04-29,21.68
2016-04-29,21.68
2016-05-03,22.09
2016-05-03,22.09
2016-05-04,22.02
2016-05-04,22.02
2016-05-05,21.97
2016-05-05,21.97
2016-05-06,21.08
2016-05-06,21.08
2016-05-09,20.47
2016-05-09,20.47
2016-05-10,20.27
2016-05-10,20.27
2016-05-11,20.55
2016-05-11,20.55
2016-05-12,21.06
2016-05-12,21.06
2016-05-13,20.74
2016-05-13,20.74
2016-05-16,20.69
2016-05-16,20.69
2016-05-17,20.7
2016-05-17,20.7
2016-05-18,20.72
2016-05-18,20.72
2016-05-19,20.59
2016-05-19,20.59
2016-05-20,20.65
2016-05-20,20.65
2016-05-23,20.68
2016-05-23,20.68
2016-05-24,20.56
2016-05-24,20.56
2016-05-25,20.48
2016-05-25,20.48
2016-05-26,20.72
2016-05-26,20.72
2016-05-27,20.61
2016-05-27,20.61
2016-05-30,20.77
2016-05-30,20.77
2016-05-31,21.63
2016-05-31,21.63
2016-06-01,21.6
2016-06-01,21.6
2016-06-02,21.59
2016-06-02,21.59
2016-06-03,21.64
2016-06-03,21.64
2016-06-06,21.38
2016-06-06,21.38
2016-06-07,21.38
2016-06-07,21.38
2016-06-08,21.47
2016-06-08,21.47
2016-06-13,20.68
2016-06-13,20.68
2016-06-14,20.82
2016-06-14,20.82
2016-06-15,20.93
2016-06-15,20.93
2016-06-16,20.8
2016-06-16,20.8
2016-06-17,20.4
2016-06-17,20.4
2016-06-20,20.42
2016-06-20,20.42
2016-06-21,20.39
2016-06-21,20.39
2016-06-22,20.6
2016-06-22,20.6
2016-06-23,20.56
2016-06-23,20.56
2016-06-24,20.54
2016-06-24,20.54
2016-06-27,20.66
2016-06-27,20.66
2016-06-28,20.71
2016-06-28,20.71
2016-06-29,20.93
2016-06-29,20.93
2016-06-30,20.8
2016-06-30,20.8
2016-07-01,20.82
2016-07-01,20.82
2016-07-04,21.32
2016-07-04,21.32
2016-07-05,21.33
2016-07-05,21.33
2016-07-06,21.18
2016-07-06,21.18
2016-07-07,21.27
2016-07-07,21.27
2016-07-08,21.14
2016-07-08,21.14
2016-07-11,21.11
2016-07-11,21.11
2016-07-12,21.46
2016-07-12,21.46
2016-07-13,21.67
2016-07-13,21.67
2016-07-14,21.58
2016-07-14,21.58
2016-07-15,21.7
2016-07-15,21.7
2016-07-18,21.63
2016-07-18,21.63
2016-07-19,21.32
2016-07-19,21.32
2016-07-20,21.26
2016-07-20,21.26
2016-07-21,21.36
2016-07-21,21.36
2016-07-22,21.15
2016-07-22,21.15
2016-07-25,21.12
2016-07-25,21.12
2016-07-26,21.24
2016-07-26,21.24
2016-07-27,21.41
2016-07-27,21.41
2016-07-28,21.1
2016-07-28,21.1
2016-07-29,20.95
2016-07-29,20.95
2016-08-01,20.74
2016-08-01,20.74
2016-08-02,20.8
2016-08-02,20.8
2016-08-03,20.67
2016-08-03,20.67
2016-08-04,20.6
2016-08-04,20.6
2016-08-05,20.59
2016-08-05,20.59
2016-08-08,20.78
2016-08-08,20.78
2016-08-09,20.82
2016-08-09,20.82
2016-08-10,20.74
2016-08-10,20.74
2016-08-11,21.1
2016-08-11,21.1
2016-08-12,21.38
2016-08-12,21.38
2016-08-15,22.4
2016-08-15,22.4
2016-08-16,21.97
2016-08-16,21.97
2016-08-17,21.93
2016-08-17,21.93
2016-08-18,22.09
2016-08-18,22.09
2016-08-19,21.78
2016-08-19,21.78
2016-08-22,21.62
2016-08-22,21.62
2016-08-23,21.84
2016-08-23,21.84
2016-08-24,21.57
2016-08-24,21.57
2016-08-25,21.52
2016-08-25,21.52
2016-08-26,21.56
2016-08-26,21.56
2016-08-29,21.36
2016-08-29,21.36
2016-08-30,21.48
2016-08-30,21.48
2016-08-31,21.59
2016-08-31,21.59
2016-09-01,21.63
2016-09-01,21.63
2016-09-02,21.79
2016-09-02,21.79
2016-09-05,21.73
2016-09-05,21.73
2016-09-06,21.85
2016-09-06,21.85
2016-09-07,21.94
2016-09-07,21.94
2016-09-08,21.89
2016-09-08,21.89
2016-09-09,22.06
2016-09-09,22.06
2016-09-12,21.79
2016-09-12,21.79
2016-09-13,21.66
2016-09-13,21.66
2016-09-14,21.44
2016-09-14,21.44
2016-09-19,21.65
2016-09-19,21.65
2016-09-20,21.55
2016-09-20,21.55
2016-09-21,21.58
2016-09-21,21.58
2016-09-22,21.9
2016-09-22,21.9
2016-09-23,21.83
2016-09-23,21.83
2016-09-26,21.55
2016-09-26,21.55
2016-09-27,21.64
2016-09-27,21.64
2016-09-28,21.47
2016-09-28,21.47
2016-09-29,21.51
2016-09-29,21.51
2016-09-30,21.42
2016-09-30,21.42
2016-10-10,21.74
2016-10-10,21.74
2016-10-11,21.83
2016-10-11,21.83
2016-10-12,21.81
2016-10-12,21.81
2016-10-13,21.67
2016-10-13,21.67
2016-10-14,21.58
2016-10-14,21.58
2016-10-17,21.38
2016-10-17,21.38
2016-10-18,21.59
2016-10-18,21.59
2016-10-19,21.39
2016-10-19,21.39
2016-10-20,21.31
2016-10-20,21.31
2016-10-21,21.51
2016-10-21,21.51
2016-10-24,21.84
2016-10-24,21.84
2016-10-25,21.74
2016-10-25,21.74
2016-10-26,21.66
2016-10-26,21.66
2016-10-27,21.58
2016-10-27,21.58
2016-10-28,21.8
2016-10-28,21.8
2016-10-31,21.83
2016-10-31,21.83
2016-11-01,21.88
2016-11-01,21.88
2016-11-02,21.68
2016-11-02,21.68
2016-11-03,22.0
2016-11-03,22.0
2016-11-04,21.9
2016-11-04,21.9
2016-11-07,22.07
2016-11-07,22.07
2016-11-08,22.18
2016-11-08,22.18
2016-11-09,21.79
2016-11-09,21.79
2016-11-10,22.31
2016-11-10,22.31
2016-11-11,22.65
2016-11-11,22.65
2016-11-14,22.8
2016-11-14,22.8
2016-11-15,22.82
2016-11-15,22.82
2016-11-16,22.98
2016-11-16,22.98
2016-11-17,22.87
2016-11-17,22.87
2016-11-18,22.97
2016-11-18,22.97
2016-11-21,24.78
2016-11-21,24.78
2016-11-22,26.09
2016-11-22,26.09
2016-11-23,25.82
2016-11-23,25.82
2016-11-24,25.93
2016-11-24,25.93
2016-11-25,25.88
2016-11-25,25.88
2016-11-28,25.96
2016-11-28,25.96
2016-11-29,26.25
2016-11-29,26.25
2016-11-30,25.74
2016-11-30,25.74
2016-12-01,25.38
2016-12-01,25.38
2016-12-02,25.18
2016-12-02,25.18
2016-12-05,24.82
2016-12-05,24.82
2016-12-06,24.45
2016-12-06,24.45
2016-12-07,25.06
2016-12-07,25.06
2016-12-08,24.74
2016-12-08,24.74
2016-12-09,25.76
2016-12-09,25.76
2016-12-12,25.49
2016-12-12,25.49
2016-12-13,25.16
2016-12-13,25.16
2016-12-14,25.36
2016-12-14,25.36
2016-12-15,24.11
2016-12-15,24.11
2016-12-16,23.78
2016-12-16,23.78
2016-12-19,23.59
2016-12-19,23.59
2016-12-20,23.59
2016-12-20,23.59
2016-12-21,23.97
2016-12-21,23.97
2016-12-22,23.83
2016-12-22,23.83
2016-12-23,23.61
2016-12-23,23.61
2016-12-26,24.23
2016-12-26,24.23
2016-12-27,23.99
2016-12-27,23.99
2016-12-28,23.85
2016-12-28,23.85
2016-12-29,23.83
2016-12-29,23.83
2016-12-30,24.09
2016-12-30,24.09
